cut,depth,color_D,color_F,color_I,price_1,price_2,price_3,price_4,carat,Euclidian Distance,,,KNN = 1,KNN = 5,KNN = 10
1,0.242924528,1,0,0,0,0,0,1,0.71,0.007462418,,,,,
1,0.235849057,1,0,0,0,0,0,1,0.7,0.114896943,,,0.7,0.75,0.663
1,0.117924528,1,0,0,0,0,0,1,0.9,0.232821472,,,,,
0,0.08490566,1,0,0,0,0,0,1,0.9,1.034732374,,,,,
1,0.344339623,1,0,0,0,1,0,0,0.71,1.414228073,,,,,
1,0.299528302,1,0,0,1,0,0,0,0.54,1.415140718,,,,,
1,0.410377358,1,0,0,1,0,0,0,0.51,1.415470204,,,,,
1,0.410377358,1,0,0,0,0,1,0,0.77,1.415470204,,,,,
1,0.280660377,1,0,0,1,0,0,0,0.44,1.41594915,,,,,
1,0.431603774,1,0,0,1,0,0,0,0.46,1.416523201,,,,,
1,0.431603774,1,0,0,0,0,1,0,0.7,1.416523201,,,,,
1,0.254716981,1,0,0,1,0,0,0,0.51,1.417470131,,,,,
1,0.462264151,1,0,0,1,0,0,0,0.5,1.418603644,,,,,
1,0.462264151,1,0,0,0,1,0,0,0.71,1.418603644,,,,,
1,0.224056604,0,0,1,0,0,0,1,0.92,1.419876827,,,,,
1,0.495283019,1,0,0,1,0,0,0,0.5,1.421580441,,,,,
1,0.495283019,1,0,0,1,0,0,0,0.5,1.421580441,,,,,
1,0.495283019,1,0,0,1,0,0,0,0.52,1.421580441,,,,,
1,0.495283019,1,0,0,1,0,0,0,0.53,1.421580441,,,,,
1,0.495283019,1,0,0,0,1,0,0,0.7,1.421580441,,,,,
1,0.200471698,1,0,0,0,1,0,0,0.62,1.422175223,,,,,
1,0.528301887,1,0,0,1,0,0,0,0.51,1.425316138,,,,,
1,0.528301887,1,0,0,1,0,0,0,0.51,1.425316138,,,,,
1,0.528301887,1,0,0,1,0,0,0,0.52,1.425316138,,,,,
1,0.528301887,1,0,0,0,0,1,0,0.76,1.425316138,,,,,
1,0.169811321,1,0,0,1,0,0,0,0.53,1.425740986,,,,,
1,0.162735849,1,0,0,0,1,0,0,0.57,1.426656166,,,,,
1,0.153301887,0,0,1,0,0,0,1,0.93,1.427930033,,,,,
